03.05.2023. 19:59:57	Uređaj 120078202 je poslao merenje 968994041. Upis u bazu podataka je započet.
04.05.2023. 2:19:31	Uređaj 73154051 je poslao merenje 718761861. Upis u bazu podataka je započet.
04.05.2023. 2:19:31	Podatak 718761861 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:32	Uređaj 97880291 je poslao merenje 720022037. Upis u bazu podataka je započet.
04.05.2023. 2:19:32	Podatak 720022037 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:32	Uređaj 73154051 je poslao merenje 723997830. Upis u bazu podataka je započet.
04.05.2023. 2:19:32	Podatak 723997830 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:32	Uređaj 97880291 je poslao merenje 725261477. Upis u bazu podataka je započet.
04.05.2023. 2:19:32	Podatak 725261477 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:32	Uređaj 73154051 je poslao merenje 729179250. Upis u bazu podataka je započet.
04.05.2023. 2:19:32	Podatak 729179250 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:33	Uređaj 97880291 je poslao merenje 730449723. Upis u bazu podataka je započet.
04.05.2023. 2:19:33	Podatak 730449723 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:33	Uređaj 73154051 je poslao merenje 734382334. Upis u bazu podataka je započet.
04.05.2023. 2:19:33	Podatak 734382334 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:33	Uređaj 97880291 je poslao merenje 735631822. Upis u bazu podataka je započet.
04.05.2023. 2:19:33	Podatak 735631822 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:33	Uređaj 73154051 je poslao merenje 739572719. Upis u bazu podataka je započet.
04.05.2023. 2:19:33	Podatak 739572719 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:34	Uređaj 97880291 je poslao merenje 740831002. Upis u bazu podataka je započet.
04.05.2023. 2:19:34	Podatak 740831002 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:34	Uređaj 73154051 je poslao merenje 744752870. Upis u bazu podataka je započet.
04.05.2023. 2:19:34	Podatak 744752870 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:34	Uređaj 97880291 je poslao merenje 746009325. Upis u bazu podataka je započet.
04.05.2023. 2:19:34	Podatak 746009325 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:34	Uređaj 73154051 je poslao merenje 749920183. Upis u bazu podataka je započet.
04.05.2023. 2:19:35	Podatak 749920183 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:35	Uređaj 97880291 je poslao merenje 751176723. Upis u bazu podataka je započet.
04.05.2023. 2:19:35	Podatak 751176723 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:35	Uređaj 73154051 je poslao merenje 755114407. Upis u bazu podataka je započet.
04.05.2023. 2:19:35	Podatak 755114407 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:35	Uređaj 97880291 je poslao merenje 756361566. Upis u bazu podataka je započet.
04.05.2023. 2:19:35	Podatak 756361566 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:36	Uređaj 73154051 je poslao merenje 760325488. Upis u bazu podataka je započet.
04.05.2023. 2:19:36	Podatak 760325488 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:36	Uređaj 97880291 je poslao merenje 761600954. Upis u bazu podataka je započet.
04.05.2023. 2:19:36	Podatak 761600954 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:36	Uređaj 73154051 je poslao merenje 765524740. Upis u bazu podataka je započet.
04.05.2023. 2:19:36	Podatak 765524740 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:36	Uređaj 97880291 je poslao merenje 766797118. Upis u bazu podataka je započet.
04.05.2023. 2:19:36	Podatak 766797118 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:37	Uređaj 73154051 je poslao merenje 770723492. Upis u bazu podataka je započet.
04.05.2023. 2:19:37	Podatak 770723492 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:37	Uređaj 97880291 je poslao merenje 771989761. Upis u bazu podataka je započet.
04.05.2023. 2:19:37	Podatak 771989761 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:37	Uređaj 73154051 je poslao merenje 775897192. Upis u bazu podataka je započet.
04.05.2023. 2:19:37	Podatak 775897192 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:37	Uređaj 97880291 je poslao merenje 777131129. Upis u bazu podataka je započet.
04.05.2023. 2:19:37	Podatak 777131129 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:38	Uređaj 73154051 je poslao merenje 781164985. Upis u bazu podataka je započet.
04.05.2023. 2:19:38	Podatak 781164985 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:38	Uređaj 97880291 je poslao merenje 782265933. Upis u bazu podataka je započet.
04.05.2023. 2:19:38	Podatak 782265933 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:38	Uređaj 73154051 je poslao merenje 786351008. Upis u bazu podataka je započet.
04.05.2023. 2:19:38	Podatak 786351008 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:38	Uređaj 97880291 je poslao merenje 787465946. Upis u bazu podataka je započet.
04.05.2023. 2:19:38	Podatak 787465946 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:39	Uređaj 73154051 je poslao merenje 791553948. Upis u bazu podataka je započet.
04.05.2023. 2:19:39	Podatak 791553948 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:39	Uređaj 97880291 je poslao merenje 792658121. Upis u bazu podataka je započet.
04.05.2023. 2:19:39	Podatak 792658121 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:39	Uređaj 73154051 je poslao merenje 796735947. Upis u bazu podataka je započet.
04.05.2023. 2:19:39	Podatak 796735947 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:40	Uređaj 73154051 je poslao merenje 801869900. Upis u bazu podataka je započet.
04.05.2023. 2:19:40	Podatak 801869900 je uspešno upisan u bazu podataka.
04.05.2023. 2:19:42 Gašenje aplikacije...
..............................................................
04.05.2023. 17:37:55	Uređaj 4182054 je poslao merenje 742059696. Upis u bazu podataka je započet.
04.05.2023. 17:37:56	Podatak 742059696 je uspešno upisan u bazu podataka.
04.05.2023. 17:37:58	Uređaj 41060075 je poslao merenje 779013732. Upis u bazu podataka je započet.
04.05.2023. 17:37:58	Podatak 779013732 je uspešno upisan u bazu podataka.
04.05.2023. 17:38:03	Uređaj 91853294 je poslao merenje 829650934. Upis u bazu podataka je započet.
04.05.2023. 17:38:03	Podatak 829650934 je uspešno upisan u bazu podataka.
04.05.2023. 17:38:10	Gašenje aplikacije...
..............................................................
